Time t / s,Events N,Channel n,Energy E / keV
,0,397,80.324953488372
,0,398,80.5306279069767
,1,399,80.7363023255813
,0,400,80.941976744186
,0,401,81.1476511627907
,1,402,81.3533255813953
,1,403,81.559
,0,404,81.7646744186046
,0,405,81.9703488372093
,0,406,82.1760232558139
,1,407,82.3816976744186
,1,408,82.5873720930232
,2,409,82.7930465116279
,0,410,82.9987209302325
,0,411,83.2043953488372
,1,412,83.4100697674418
,1,413,83.6157441860465
,1,414,83.8214186046511
,1,415,84.0270930232558
,3,416,84.2327674418604
,0,417,84.4384418604651
,0,418,84.6441162790697
,1,419,84.8497906976744
,0,420,85.055465116279
,0,421,85.2611395348837
,1,422,85.4668139534883
,0,423,85.672488372093
,1,424,85.8781627906976
,0,425,86.0838372093023
,0,426,86.2895116279069
,3,427,86.4951860465116
,0,428,86.7008604651162
,0,429,86.9065348837209
,1,430,87.1122093023255
,0,431,87.3178837209302
,1,432,87.5235581395348
,0,433,87.7292325581395
,0,434,87.9349069767441
,0,435,88.1405813953488
,0,436,88.3462558139534
,1,437,88.5519302325581
,0,438,88.7576046511627
,0,439,88.9632790697674
,0,440,89.168953488372
,0,441,89.3746279069767
,0,442,89.5803023255813
,0,443,89.785976744186
,1,444,89.9916511627906
,0,445,90.1973255813953
,0,446,90.4029999999999
,1,447,90.6086744186046
,0,448,90.8143488372093
,0,449,91.0200232558139
,1,450,91.2256976744186
,0,451,91.4313720930232
,0,452,91.6370465116278
,0,453,91.8427209302325
,0,454,92.0483953488372
,0,455,92.2540697674418
,0,456,92.4597441860465
,2,457,92.6654186046511
,0,458,92.8710930232558
,1,459,93.0767674418604
,1,460,93.2824418604651
,0,461,93.4881162790697
,1,462,93.6937906976744
,0,463,93.899465116279
,0,464,94.1051395348837
,0,465,94.3108139534883
,1,466,94.516488372093
,0,467,94.7221627906976
,0,468,94.9278372093023
,0,469,95.1335116279069
,0,470,95.3391860465116
,1,471,95.5448604651162
,0,472,95.7505348837209
,0,473,95.9562093023255
,0,474,96.1618837209302
,0,475,96.3675581395348
,0,476,96.5732325581395
,0,477,96.7789069767441
,0,478,96.9845813953488
,1,479,97.1902558139534
,2,480,97.3959302325581
,1,481,97.6016046511627
,0,482,97.8072790697674
,2,483,98.012953488372
,0,484,98.2186279069767
,1,485,98.4243023255813
,1,486,98.629976744186
,1,487,98.8356511627906
,2,488,99.0413255813953
,0,489,99.2469999999999
,0,490,99.4526744186046
,0,491,99.6583488372092
,0,492,99.8640232558139
,0,493,100.069697674419
,0,494,100.275372093023
,0,495,100.481046511628
,0,496,100.686720930232
,0,497,100.892395348837
,0,498,101.098069767442
,0,499,101.303744186046
,0,500,101.509418604651
,0,501,101.715093023256
,0,502,101.92076744186
,0,503,102.126441860465
,0,504,102.33211627907
,0,505,102.537790697674
,0,506,102.743465116279
,1,507,102.949139534884
,0,508,103.154813953488
,1,509,103.360488372093
,1,510,103.566162790698
,4,511,103.771837209302
