Time t / s,Events N,Channel n,Energy E / keV
,31,141,27.6723023255814
,31,142,27.877976744186
,31,143,28.0836511627907
,33,144,28.2893255813953
,47,145,28.495
,33,146,28.7006744186046
,30,147,28.9063488372093
,29,148,29.1120232558139
,30,149,29.3176976744186
,37,150,29.5233720930232
,38,151,29.7290465116279
,37,152,29.9347209302326
,31,153,30.1403953488372
,37,154,30.3460697674419
,25,155,30.5517441860465
,31,156,30.7574186046512
,38,157,30.9630930232558
,36,158,31.1687674418605
,35,159,31.3744418604651
,44,160,31.5801162790698
,45,161,31.7857906976744
,31,162,31.9914651162791
,32,163,32.1971395348837
,37,164,32.4028139534884
,37,165,32.608488372093
,44,166,32.8141627906977
,43,167,33.0198372093023
,53,168,33.225511627907
,58,169,33.4311860465116
,63,170,33.6368604651163
,59,171,33.8425348837209
,68,172,34.0482093023256
,78,173,34.2538837209302
,95,174,34.4595581395349
,148,175,34.6652325581395
,152,176,34.8709069767442
,216,177,35.0765813953488
,303,178,35.2822558139535
,383,179,35.4879302325581
,563,180,35.6936046511628
,624,181,35.8992790697674
,812,182,36.1049534883721
,1017,183,36.3106279069767
,1196,184,36.5163023255814
,1365,185,36.721976744186
,1430,186,36.9276511627907
,1484,187,37.1333255813953
,1416,188,37.339
,1329,189,37.5446744186046
,1132,190,37.7503488372093
,954,191,37.9560232558139
,784,192,38.1616976744186
,611,193,38.3673720930232
,454,194,38.5730465116279
,292,195,38.7787209302325
,248,196,38.9843953488372
,174,197,39.1900697674418
,172,198,39.3957441860465
,148,199,39.6014186046511
,165,200,39.8070930232558
,160,201,40.0127674418604
,187,202,40.2184418604651
,203,203,40.4241162790698
,239,204,40.6297906976744
,240,205,40.8354651162791
,212,206,41.0411395348837
,242,207,41.2468139534884
,200,208,41.452488372093
,189,209,41.6581627906977
,186,210,41.8638372093023
,149,211,42.069511627907
,126,212,42.2751860465116
,86,213,42.4808604651163
,67,214,42.6865348837209
,48,215,42.8922093023256
,47,216,43.0978837209302
,26,217,43.3035581395349
,19,218,43.5092325581395
,14,219,43.7149069767442
,18,220,43.9205813953488
,12,221,44.1262558139535
,15,222,44.3319302325581
,15,223,44.5376046511628
,16,224,44.7432790697674
,5,225,44.9489534883721
,9,226,45.1546279069767
,14,227,45.3603023255814
,11,228,45.565976744186
,13,229,45.7716511627907
,10,230,45.9773255813953
,9,231,46.183
,4,232,46.3886744186046
,6,233,46.5943488372093
,8,234,46.8000232558139
,12,235,47.0056976744186
,8,236,47.2113720930232
,15,237,47.4170465116279
,5,238,47.6227209302325
,4,239,47.8283953488372
,10,240,48.0340697674418
