Time t / s,Events N,Channel n,Energy E / keV
,776,232,10.6013255813954
,768,233,10.6527441860465
,745,234,10.7041627906977
,672,235,10.7555813953488
,587,236,10.807
,546,237,10.8584186046512
,471,238,10.9098372093023
,380,239,10.9612558139535
,303,240,11.0126744186047
,263,241,11.0640930232558
,209,242,11.115511627907
,170,243,11.1669302325581
,115,244,11.2183488372093
,118,245,11.2697674418605
,115,246,11.3211860465116
,113,247,11.3726046511628
,97,248,11.424023255814
,96,249,11.4754418604651
,119,250,11.5268604651163
,116,251,11.5782790697674
,105,252,11.6296976744186
,118,253,11.6811162790698
,101,254,11.7325348837209
,124,255,11.7839534883721
,92,256,11.8353720930233
,76,257,11.8867906976744
,66,258,11.9382093023256
,48,259,11.9896279069768
,42,260,12.0410465116279
,29,261,12.0924651162791
,21,262,12.1438837209302
,18,263,12.1953023255814
,6,264,12.2467209302326
,3,265,12.2981395348837
,8,266,12.3495581395349
,5,267,12.4009767441861
,3,268,12.4523953488372
,1,269,12.5038139534884
,1,270,12.5552325581395
,1,271,12.6066511627907
,0,272,12.6580697674419
,1,273,12.709488372093
,2,274,12.7609069767442
,0,275,12.8123255813954
,0,276,12.8637441860465
,0,277,12.9151627906977
,0,278,12.9665813953488
,0,279,13.018
,0,280,13.0694186046512
,0,281,13.1208372093023
,1,282,13.1722558139535
,0,283,13.2236744186047
,0,284,13.2750930232558
,0,285,13.326511627907
,1,286,13.3779302325581
,0,287,13.4293488372093
,1,288,13.4807674418605
,0,289,13.5321860465116
,0,290,13.5836046511628
,1,291,13.635023255814
,0,292,13.6864418604651
,1,293,13.7378604651163
,1,294,13.7892790697674
,0,295,13.8406976744186
,1,296,13.8921162790698
,0,297,13.9435348837209
,1,298,13.9949534883721
,1,299,14.0463720930233
,0,300,14.0977906976744
,0,301,14.1492093023256
,0,302,14.2006279069767
,3,303,14.2520465116279
,1,304,14.3034651162791
,0,305,14.3548837209302
,0,306,14.4063023255814
,1,307,14.4577209302326
,1,308,14.5091395348837
,0,309,14.5605581395349
,1,310,14.611976744186
,1,311,14.6633953488372
,2,312,14.7148139534884
,0,313,14.7662325581395
,0,314,14.8176511627907
,0,315,14.8690697674419
,1,316,14.920488372093
,0,317,14.9719069767442
,2,318,15.0233255813954
,1,319,15.0747441860465
,1,320,15.1261627906977
,1,321,15.1775813953488
,1,322,15.229
,2,323,15.2804186046512
,0,324,15.3318372093023
,2,325,15.3832558139535
,3,326,15.4346744186047
,6,327,15.4860930232558
,1,328,15.537511627907
,0,329,15.5889302325581
,1,330,15.6403488372093
,0,331,15.6917674418605
,3,332,15.7431860465116
,0,333,15.7946046511628
,1,334,15.846023255814
,2,335,15.8974418604651
,2,336,15.9488604651163
